Dokument_ID	Nachname	Vorname	Pseudonym	Gender	Titel	Untertitel_im_Text	Untertitel_im_Inhaltsverzeichnis	Jahr_ED	entstanden	Gattungslabel_ED	Gattungslabel_ED_normalisiert	Medium_ED	Medientyp_ED	Hg.	Kanon_Status	Nummer im Heft (ab 00797: 1 erste Position. 0 nicht erste Position)	seriell	Seiten	Medium_Zweitdruck	Jahr_Zweitdruck	Label_Zweitdruck	Medium_Drittdruck	Jahr_Drittdruck	Label_Drittdruck	in_Deutscher_Novellenschatz_(Heyse)	in_Pantheon	in_RUB_Sammlung	in_B-v-Wiese	Verantwortlich_Erfassung	falls andere Quelle	Herkunft_Prätext_lt_Paratext	Wahrheitsbeglaubigung_lt_Paratext	Bearbeitungsqualität	ist_spätere_Fassung_von	UrhGeschBis	falls_Episode_als_Ganztext_erfasst	Kontrafaktizität_annotiert
00000-00	Lohmeyer	Julius		m	Das Pfarrhaus zu Goldschütz	Erzählung von Julius Lohmeyer		1897		E	E	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	5-17, 56-67, 102-115, 150-172											Julian Schröter								
00001-00	Gräfin Salzburg	Edith		f	Ein Herz			1897		E	E	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	248-253											Julian Schröter								
00002-00	Schröter	R. 		m	Die Wartburg in Sage und Geschichte			1897		E	E	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	346-352											Julian Schröter								
00003-00	Eichelbach	Hans		m	Wie ich Dichter wurde			1897		Jugenderinnerungen/Erzählung	XE	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	393-400											Julian Schröter								
00004-00	Rabe	E.		unknown	Bim Maidrant. Eine lustige Pfingstgeschichte			1897		Pfingstgeschichte/Erzählung	XE	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	441-451											Julian Schröter								
00005-00	Weitzer	Anna		f	Interessante Begegnungen. Eine literarische Plauderei			1897		Literarische Plauderei/Erzählung	XE	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	488-495											Julian Schröter								
00006-00	Köppen (von)	Fedor		m	Fritz Reuter am Sedantage. Eine Erinnerung			1897		Erinnerung/Erzählung	XE	Monatsblätter für deutsche Litteratur 2	Zeitschrift		0		TRUE	534-537											Julian Schröter								
00007-00	Schefer	Leopold		f	Die weiße Henne			1827		N	N	Wendt’s Taschenbuch zum geselligen Vergnügen auf das Jahr 1828	Taschenbuch		0		FALSE	278-360											Julian Schröter								
00008-00	Berlepsch 	Lina, Freifrau von		f	Die Erbin von Redstone Hall	nach dem amerikanischen Originale der Mary Holmes		1870		0E_unknown	0E	Novellen-Cyclus der Frankfurter Zeitung	Zeitungsbeiheft		0		FALSE	1-228											Julian Schröter								
00009-00	Hoefer	Edmund		m	Zu Olim’s Zeiten.	Eine Geschichte		1871		Eine Geschichte	XE	Novellen-Cyclus der Frankfurter Zeitung	Zeitungsbeiheft		0		FALSE	1-98											Julian Schröter								
00010-00	Mollin	Alfred, von		m	Aus dem Leben einer Künstlerfamilie			1871		0E_unknown	0E	Novellen-Cyclus der Frankfurter Zeitung	Zeitungsbeiheft		0		FALSE	1-49											Julian Schröter								
00011-00	Berlepsch 	Lina, Freifrau von		f	Vermisste Dokumente	Nach dem amerikanischen Originale des General – –. frei bearbeitet		1871		0E_unknown	0E	Novellen-Cyclus der Frankfurter Zeitung	Zeitungsbeiheft		0		FALSE	1-165											Julian Schröter								
00012-00	Cressieux	B.		unknown	Schein und Wahrheit	Novelle		1872		N	N	Novellen-Cyclus der Frankfurter Zeitung	Zeitungsbeiheft		0		FALSE	1-50											Julian Schröter								
00013-00	Häring	Georg Wilhelm Heinrich	Willibald Alexis	m	Herr von Sacken	Eine geistliche Novelle		1837		N	N	Deutsches Taschenbuch auf das Jahr	Taschenbuch		1		FALSE								TRUE				Julian Schröter								
00014-00	Tieck	Ludwig		m	Der fünfzehnte November			1827		N	N	Dresdner Morgenzeitung	Zeitung		2		TRUE													DigBib			normalisiert				
00015-00	Tieck	Ludwig		m	Der Aufruhr in den Cevennen	Novelle		1826		N	N	Selbst. Reimer Berlin	Monographie		2		FALSE													DigBib			normalisiert				
00016-00	Tieck	Ludwig		m	Der blonde Eckbert			1797		M	M	Volksmährchen, hg. v. Peter Lebrecht, Bd. 1	Anthologie		3		FALSE	192-242									TRUE			DigBib			normalisiert				
00017-00	Tieck	Ludwig		m	Der Geheimnisvolle	Novelle		1822		N	N	Dresdener Merkur	Zeitung		2		TRUE													DigBib			normalisiert				
00018-00	Tieck	Ludwig		m	Die Gemälde	Novelle		1821		N	N	Wendts Taschenbuch zum geselligen Vergnügen auf das Jahr 1822	Taschenbuch		2		FALSE													DigBib			normalisiert				
00019-00	Tieck	Ludwig		m	Die Geschichte von den Haimonskindern	in zwanzig altfränkischen Bildern		1797		M	M	Volksmährchen, hg. v. Peter Lebrecht Bd. 1	Anthologie		2		FALSE													DigBib			normalisiert				
