,rom_setting,length,danger,fear,density,centralization,fraction_dirspeech,fraction_indirspeech,fraction_fid
00016-00,0.0,0.00828806985432489,0.0988114658587774,0.21861460471153638,0.5,0.7999999999999999,0.3456564942185595,0.3341331388676124,0.03584005416886852
00397-00,0.0,0.009677338414992478,0.0,0.0,0.0,0.0,0.3549647860034803,0.23632933202912365,0.15565230093199794
00762-00,0.041835052291844796,0.011618616726951943,0.0,0.0,0.0,0.0,0.3451575175459882,0.4482046825389997,0.0028455734995676543
00750-00,0.019808845722021892,0.1781314337859021,0.0,0.0,0.0,0.0,0.46235106566167233,0.21792239088951484,0.16736670770158138
00666-00,0.030687474110345392,0.2516609814944674,0.0,0.0,0.0,0.0,0.4171859111654583,0.40834345976433356,0.15878326960559938
00732-00,0.0,0.009294365142565103,0.148148148148127,0.29648119701883147,1.0,0.0,0.3236491418523004,0.2591396411242467,0.0026184231491446167
00353-00,0.0,0.0011542022072466467,0.453781512605025,0.3006686545585974,0.0,0.0,0.2897478717406268,0.11245147864076228,0.0
00100-00,0.0,0.007585511989044324,0.1646341463414061,0.30031170775417426,0.6476190476190476,0.46736842105263154,0.13554270892373543,0.2560300794551644,0.022206962639930126
00224-00,0.04726004392972876,0.04185105509136554,0.0882393747398632,0.31322962390538256,0.4857142857142857,0.64,0.3543022323311967,0.1007282392388432,0.19382356485479516
00751-00,0.041835052291844796,0.011695211381437417,0.0,0.0,0.0,0.0,0.41706372921758106,0.34336724918628364,0.0011945131779941517
00497-00,0.02431085611339051,0.01831008421450201,0.0,0.0,0.0,0.0,0.424268977048356,0.24640757621064602,0.048902102696108084
00475-00,0.03193067668624425,0.04373950950367985,0.0,0.0,0.0,0.0,0.4738347417027484,0.37505192883661514,0.049661848959745035
00712-00,0.011885307433213144,0.230549910001281,0.0,0.0,0.0,0.0,0.3745378715393268,0.09701761637827643,0.07976155188600778
00255-00,0.0,0.011063965780677809,0.0736565201052006,0.2135455180969234,0.6794871794871795,0.45454545454545453,0.2621519311966582,0.18557218877805623,0.27297392435972506
00306-00,0.07598413372709917,0.033906340584734164,0.1258092360811436,0.312862415943865,0.7818181818181819,0.3199999999999999,0.26739929597747764,0.1668026498528544,0.02593077683411967
00747-00,0.04114144880727624,0.0020548496961965475,0.0,0.0,0.0,0.0,0.17222299788315662,0.241413909752881,0.0
00199-00,0.09867426609959697,0.0237681136453377,0.1338112305853828,0.3713841891376865,0.8,0.2933333333333333,0.5819889112103909,0.30864378357334904,0.024514515098979926
00759-00,0.041835052291844796,0.005115994680633306,0.0,0.0,0.0,0.0,0.36678820387911126,0.1310124514466183,0.004435451741317816
