Dokument ID,Jahr_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,seriell,Gender
00016-00,1797,M,"Volksmährchen, hg. v. Peter Lebrecht, Bd. 1",Anthologie,False,
00019-00,1797,M,"Volksmährchen, hg. v. Peter Lebrecht Bd. 1",Anthologie,False,
00021-00,1831,N,Novellen-Kranz. Ein Almanach auf das Jahr 1832,Anthologie,False,
00024-00,1796,0E,Straußfedern (darin anonym erschienen),Anthologie,False,
00031-00,1799,0E,"Romantische Dichtungen, Bd. 1",Anthologie,False,
00037-00,1809,N,Der Winterabend. Novellen.,Anthologie,False,
00038-00,1809,N,Der Winterabend. Novellen.,Anthologie,False,
00039-00,1809,N,Der Winterabend. Novellen.,Anthologie,False,
00053-00,1841,N,Sonnenblumensträuße,Anthologie,False,
00054-00,1841,N,Sonnenblumensträuße,Anthologie,False,
00055-00,1838,0P,"Sommerfrüchte, Bd. 1",Anthologie,False,
00020-00,1824,N,Berlinischer Taschenkalender auf das Gemein-Jahr 1825,Kalender,False,
00015-00,1826,N,Selbst. Reimer Berlin,Monographie,False,
00023-00,1795,XE,"selbst. Berlin, Leipzig bei Nicolai",Monographie,False,m
00051-00,1799,R,[als Buch],Monographie,False,m
00052-00,1781,N,[als Buch],Monographie,False,m
00107-00,1886,XE,Deutsche Rundschau 1886,Rundschau,False,m
00033-00,1812,0E,"Phantasus, Bd. 1",Sammlung,False,m
00034-00,1812,0E,"Phantasus, Bd. 1",Sammlung,False,m
00035-00,1812,0E,"Phantasus, Bd. 1",Sammlung,False,m
00085-00,1830,0E,Pantheon. Bd. 20,Sammlung,False,m
00181-00,1828,0E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.1,Sammlung,False,m
00182-00,1828,0E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.1,Sammlung,False,m
00183-00,1829,0E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.4,Sammlung,False,m
00185-00,1830,0E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.21,Sammlung,False,m
00189-00,1828,0E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.1,Sammlung,False,m
00190-00,1828,E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.1,Sammlung,False,m
00191-00,1829,N,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.6,Sammlung,False,m
00192-00,1830,0E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.19,Sammlung,False,m
00193-00,1828,N,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.2,Sammlung,False,m
00194-00,1828,N,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.2,Sammlung,False,m
00195-00,1830,E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd.18,Sammlung,False,m
00196-00,1829,N,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd. 6,Sammlung,False,m
00197-00,1829,E,Pantheon. Eine Sammlung vorzüglicher Novellen und Erzählungen der Lieblingsdichter Europa´s. Bd. 7,Sammlung,False,m
00007-00,1827,N,Wendt’s Taschenbuch zum geselligen Vergnügen auf das Jahr 1828,Taschenbuch,False,m
00013-00,1837,N,Deutsches Taschenbuch auf das Jahr,Taschenbuch,False,m
00018-00,1821,N,Wendts Taschenbuch zum geselligen Vergnügen auf das Jahr 1822,Taschenbuch,False,unbekannt
00022-00,1838,N,Urania. Taschenbuch auf das Jahr 1839,Taschenbuch,False,m
00025-00,1830,N,Novellenkranz. Ein Almanach auf das Jahr 1831,Taschenbuch,False,m
00026-00,1829,N,Urania. Taschenbuch auf das Jahr 1830,Taschenbuch,False,m
00027-00,1830,N,Novellenkranz. Ein Almanach auf das Jahr 1831,Taschenbuch,False,m
00028-00,1830,N,Urania. Taschenbuch auf das Jahr 1831,Taschenbuch,False,m
00029-00,1831,N,Novellenkranz. Ein Almanach auf das Jahr 1832,Taschenbuch,False,m
00030-00,1831,N,Urania. Taschenbuch auf das Jahr 1832,Taschenbuch,False,m
00032-00,1804,0E,Taschenbuch für Kunst und Laune,Taschenbuch,False,m
00036-00,1827,0E,Urania. Ein Taschenbuch für das Jahr 1828,Taschenbuch,False,m
00041-00,1824,N,Taschenbuch zum geselligen Vergnügen auf das Jahr 1825,Taschenbuch,False,m
00042-00,1816,M,Taschenbuch für Damen auf das Jahr 1817/1819,Taschenbuch,False,f
00044-00,1817,0E,Taschenbuch für Damen auf das Jahr 1818,Taschenbuch,False,m
00045-00,1822,E,Feierstunden. Eine Schrift für edle Unterhaltung in zwanglosen Bänden (Brünn),Taschenbuch,False,m
00046-00,1847,E,Iris – Almanach/Taschenbuch auf das Jahr 1848 ,Taschenbuch,False,f
00050-00,1801,N,Aglaia. Jahrbuch für Frauenzimmer auf 1802,Taschenbuch,False,f
00056-00,1820,0P,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,False,unbekannt
00057-00,1820,V ,Urania. Taschenbuch auf das Jahr 1821,Taschenbuch,False,m
