id,nachname,,titel,untertitel,label,suspense,liebesspannung,rätselspannung,ende,humor,erotik,gewalt,peripetien,strängigkeit,zentr_konflikt,grund,verwechslung,zufall,enthüllung,stadt_land,region,wissen_hist,wissen_wissenschaft,wissen_klassisch,wissen_kunst,wissen_zeitgesch,figurenanzahl,nebenfigurenanazahl,cluster_anzahl,cluster_komplexität,cluster_verknüpfung,adel,familie,figuren_m/w,ökonomisch,gesamt,anm
00162-00,Frau von W,o.N.,Das neue Jahr,Novelle von Frau von W,N,stark,gering,stark,tragisch,,,,3,einsträngig,ja,Umgang mit Schuld,ja,nein,ja,land,Deutschland,nein,nein,nein,,nein,19,,3,,gering,ausschließlich adeliges Milieu,ja,/,stark,unterhaltend. moralisch,
00184-00,Hauff,Wilhelm,Das Bild des Kaisers.,Novelle von Wilhelm Hauff.,N,gering,mittel,nein,nein,,,,1,einsträngig,ja,Politische Gespaltenheit innerhalb des Deutschen Bundes; mglw. Verbeitung liberaler Ideen durch Novelle,ja,ja,nein,land,Deutschland,nein,nein,nein,,stark,6,,2,,stark,Ja. niederer Adel,ja,männlich,nein,politisch,
00119-00,Heyden,Friedrich von,Scharfenstein,Novelle von Friedrich von Heyden,N,stark,nein,nein,nein,,,,1,einsträngig,ja,Erbe der Feudalzeit,ja,nein,ja,land,Deutschland,stark,nein,nein,,stark,8,,2,,mittel,Durchmischt,nein,männlich,mittel,unterhaltend. ästhetisch-philosophisch,
00139-00,Heyden,Julius von der [als Emerentius Scävola],Alles wiederholt sich nicht im Leben,Novelle von Emerentius Scävola,N,stark,gering,nein,tragisch,,,,2,einsträngig,ja,Zusammenhang zwischen Liebe und finanzieller Integrität in korrigierender Wiederholung,ja,ja,nein,land,Deutschland,nein,nein,nein,,gering,7,,1,Alle mit allen,,Nein,ja,beides,stark,moralisch,
00186-00,Kruse,Lauritz,Der Solitär.,Erzählung. von L. Kruse. ,E,stark,mittel,stark,nein,,,,2,episodisch,nein,,ja,ja,ja,stadt+land,Italien,nein,nein,nein,,mitel,13,,3,,mittel,Durchmischt,ja,männlich,mittel,unterhaltend,
00118-00,Kruse,Lauritz,Die Nattern am Busen,Eine dänische Erzählung. mitgetheilt von Kruse,E,mittel,stark,nein,nein,,,,2,einsträngig,ja,Arrangierte Ehe vs. Liebe,nein,ja,nein,land,Dänemark,nein,nein,nein,,nein,10,,1,Alle mit allen,,Ja. niederer Adel,ja,beides,mittel,moralisch,
00177-00,Lohmann,Friederike,Die heilige Elisabeth.,Erzählung von Friederike Lohmann.,E,stark,stark,nein,nein,,,,1,1 Haupt- und 1 Hintergrundhandlung,ja,Frömmigkeit als Tugend vs. als weltverkennenden Transzendenzsehnsucht; ,nein,ja (motiviert als göttliches Schicksal),nein,stadt+land,Deutschland,stark,nein,nein,,nein,13,,2,,stark,Ja. hoher Adel,nein,beides,nein,historisch,
00191-00,Neusser,Ludwig,Die drei Träume,Novelle von Ludwig Neusser,N,gering,mittel,nein,nein,,,,0,einsträngig,nein,,nein,nein,nein,land,Portugal,nein,nein,nein,,gering,5,,1,Alle mit allen,,Nein,ja,männlich,stark,moralisch. enzyklopädisch,
00117-00,o.N.,Dorothea,Liebe und Welt,Polnische Novelle von Dorothea,N,mittel,stark,nein,tragisch,,,,2,einsträngig,ja,Abwägung zwischen Privatleben und Gesellschaft,nein,nein,nein,stadt+land,Polen,nein,nein,nein,,nein,3,,1,Alle mit allen,,Ja. niederer Adel,nein,männlich,nein,moralisch,
00194-00,o.N.,o.N.,Pflicht und Liebe,Novelle. Aus dem Italiänischen frei bearbitet nach David Bertolotti.,N,mittel,mittel,nein,tragisch,,,,1,einsträngig,ja,Diskussion von Treue in korrigierender Wiederholung,nein,nein,ja,land,Deutschland,nein,nein,nein,,mittel,5,,2,,mittel,Nein,ja,beides,gering,moralisch,
00195-00,o.N.,o.N.,Die Zigeuner am Genfersee. ,Erzählung. frei nach dem Französischen,E,stark,stark,mittel,nein,,,,> 3,episodisch,ja,Abenteuerhandlung: Aufklärung der Entführung,nein,ja,ja,land,Schweiz,stark,nein,nein,,nein,10,,3,,mittel,Kaum,ja,beides,nein,unterhaltend. historisch. enzyklopädisch,
00192-00,o.N.,o.N.,Der Wald von St. Eufemia.,Novelle. frei nach dem Englischen bearbeitet,N,stark,stark,nein,tragisch,,,,2,einsträngig,ja,Liebe zwischen Einwohnerin und Besetzer,nein,ja,nein,land,Italien,mittel,nein,nein,,mittel,5,,2,,mittel,Nein,ja,beides,nein,moralisch. unterhaltend,
00190-00,o.N.,o.N.,Nicolaus Klim's unterirdische Reise.,Eine satyrische Erzählung. nach dem Lateinischen von Holberg frei bearbeitet.,E,gering,nein,gering,nein,satirisch,nein,nein,> 3,episodisch,nein,,nein,ja,ja,None,Universum,nein,mittel,nein,,stark,,,/,,,/,nein,männlich,nein,moralisch. unterhaltend. politisch,Der Text arbeitet weder mit einem klassischen Figurenbegriff. noch lassen sich die nichtmenschlichen Akteure in die Kategorien einordnen.
00132-00,Perin,Josephine von,Die Unerfahrene.,Erzählung von Josephine v. Perin. gebornen Freyin v. Vogelsang,E,gering,stark,nein,nein,,,,2,episodisch,ja,Leben in der stadt vs. auf dem land (Oberflächlichkeit. Eitelkeit vs. Einfachheit. Tugendhaftigkeit),nein,ja,nein,stadt+land,unbestimmt,nein,nein,nein,,nein,9,,2,,stark,Ja. niederer Adel,ja,weiblich,mittel,moralisch,
00098-00,Pichler,Caroline,Die Walpurgisnacht.,Nach einer Sage.,S,stark,stark,mittel,nein,,,,2,episodisch,ja,Eifersucht und Versuch der erzwungenen Liebe,ja,nein,nein,land,Österreich,gering,nein,nein,,nein,9,,2,,gering,Nein,ja,weiblich,mittel,moralisch,
